eq,cry,deff,wd,avg,pos,avg_is,pos_is,avg_oos,pos_oos
0.44,0.26,0.16,0.12,0.017202440296088917,0.6989247311827957,0.01831541271441731,0.6875,0.01601526971653863,0.7111111111111111
0.44,0.26,0.19,0.0,0.015256075472927172,0.7526881720430108,0.015121123982036066,0.75,0.015400023729877683,0.7555555555555555
0.44,0.26,0.19,0.04,0.01582122393391303,0.7311827956989247,0.01600955748963213,0.7083333333333334,0.015620334807812653,0.7555555555555555
0.44,0.26,0.19,0.08,0.016281284813779405,0.7096774193548387,0.016856038839494672,0.6875,0.01566821385301646,0.7333333333333333
0.44,0.26,0.19,0.12,0.0168250006386125,0.6989247311827957,0.0177452346247708,0.6875,0.015843417720043648,0.7111111111111111
0.44,0.3,0.1,0.0,0.016519853285772202,0.6989247311827957,0.016868355323675244,0.6875,0.01614811777867562,0.7111111111111111
0.44,0.3,0.1,0.04,0.017111114053086664,0.7204301075268817,0.01798528322418295,0.7291666666666666,0.016178666937250626,0.7111111111111111
0.44,0.3,0.1,0.08,0.017734443062511526,0.6989247311827957,0.018932600297612737,0.7083333333333334,0.016456408678403568,0.6888888888888889
0.44,0.3,0.1,0.12,0.01837613371913221,0.6989247311827957,0.01993834783333615,0.7083333333333334,0.016709771997314684,0.6888888888888889
0.44,0.3,0.13,0.0,0.016222509003829596,0.7096774193548387,0.016664174700451756,0.7083333333333334,0.015751398927432627,0.7111111111111111
0.44,0.3,0.13,0.04,0.016845493088792594,0.7204301075268817,0.01762499967058623,0.7291666666666666,0.016014019401546047,0.7111111111111111
0.44,0.3,0.13,0.08,0.017397962569243267,0.6989247311827957,0.018518607732001854,0.7083333333333334,0.016202607728967436,0.6888888888888889
0.44,0.3,0.13,0.12,0.01797870499968393,0.6881720430107527,0.019442359647271312,0.7083333333333334,0.016417473375590727,0.6666666666666666
0.44,0.3,0.16,0.0,0.015892769056679044,0.7204301075268817,0.01618019743981949,0.7291666666666666,0.015586178781329237,0.7111111111111111
0.44,0.3,0.16,0.04,0.016486531356046493,0.7204301075268817,0.017098945917564386,0.7291666666666666,0.01583328915709407,0.7111111111111111
0.44,0.3,0.16,0.08,0.01703804871777505,0.7096774193548387,0.01796875040830326,0.7083333333333334,0.01604530024787829,0.7111111111111111
0.44,0.3,0.16,0.12,0.017634290173626537,0.6774193548387096,0.0189456882428312,0.6875,0.0162354655664749,0.6666666666666666
0.44,0.3,0.19,0.0,0.015630706391562058,0.7311827956989247,0.01579554444032031,0.7291666666666666,0.015454879139553252,0.7333333333333333
0.44,0.3,0.19,0.04,0.01619833901417604,0.7204301075268817,0.016687050794040557,0.7291666666666666,0.015677046448987226,0.7111111111111111
0.44,0.3,0.19,0.08,0.01678226758026731,0.6989247311827957,0.01762873881662878,0.6875,0.015879364928148412,0.7111111111111111
0.44,0.3,0.19,0.12,0.017275863228774075,0.6774193548387096,0.01841722542993787,0.6875,0.016058410214199362,0.6666666666666666
0.44,0.34,0.1,0.0,0.01698791946142572,0.6881720430107527,0.017478578935672624,0.6666666666666666,0.016464549355562363,0.7111111111111111
0.44,0.34,0.1,0.04,0.017603809843693623,0.6881720430107527,0.018403844031059814,0.6666666666666666,0.01675044004383636,0.7111111111111111
0.44,0.34,0.1,0.08,0.018315551430699132,0.6774193548387096,0.019531929072244377,0.6875,0.017018081946384198,0.6666666666666666
0.44,0.34,0.1,0.12,0.01869896481884069,0.6774193548387096,0.02036530332942045,0.6875,0.016921537074222278,0.6666666666666666
0.44,0.34,0.13,0.0,0.016613031493526255,0.6881720430107527,0.017215325785997996,0.6666666666666666,0.01597058424822307,0.7111111111111111
0.44,0.34,0.13,0.04,0.017170989092303846,0.6881720430107527,0.018058890402384575,0.6666666666666666,0.016223894361551073,0.7111111111111111
0.44,0.34,0.13,0.08,0.01782335950497695,0.6989247311827957,0.01915371255765361,0.7083333333333334,0.016404316248788506,0.6888888888888889
0.44,0.34,0.13,0.12,0.018317896741247935,0.6881720430107527,0.019908594912309913,0.7083333333333334,0.016621152025448487,0.6666666666666666
0.44,0.34,0.16,0.0,0.0162776917703235,0.6881720430107527,0.016721508499694084,0.6666666666666666,0.015804287258994885,0.7111111111111111
0.44,0.34,0.16,0.04,0.016947201937375932,0.7204301075268817,0.017792631344908678,0.7291666666666666,0.016045410569340994,0.7111111111111111
0.44,0.34,0.16,0.08,0.01748690115020448,0.6989247311827957,0.018643770721141643,0.7083333333333334,0.016252906941204834,0.6888888888888889
0.44,0.34,0.16,0.12,0.018017049736955327,0.6881720430107527,0.019489065402153925,0.7083333333333334,0.01644689969407682,0.6666666666666666
0.44,0.34,0.19,0.0,0.01609120733867268,0.6881720430107527,0.01650524283656282,0.6666666666666666,0.015649569474256535,0.7111111111111111
0.44,0.34,0.19,0.04,0.01668116297815881,0.7096774193548387,0.017427284838610335,0.7083333333333334,0.01588529966034385,0.7111111111111111
0.44,0.34,0.19,0.08,0.017207109781101366,0.6989247311827957,0.018255372018778332,0.7083333333333334,0.016088963394245932,0.6888888888888889
0.44,0.34,0.19,0.12,0.017682357660672277,0.6881720430107527,0.01900336897032033,0.7083333333333334,0.01627327893038102,0.6666666666666666
0.48,0.22,0.1,0.0,0.01546954570505194,0.7419354838709677,0.015585910851068537,0.7291666666666666,0.015345422882634243,0.7555555555555555
0.48,0.22,0.1,0.04,0.016121148950075447,0.7311827956989247,0.01657609239671403,0.7083333333333334,0.015635875940327622,0.7555555555555555
0.48,0.22,0.1,0.08,0.016750577222955823,0.7204301075268817,0.017534680879032143,0.7291666666666666,0.015914199989807747,0.7111111111111111
0.48,0.22,0.1,0.12,0.017403994459647566,0.6989247311827957,0.018470279331169254,0.6875,0.01626662393002443,0.7111111111111111
0.48,0.22,0.13,0.0,0.015212196245186594,0.7311827956989247,0.015177225790750775,0.7083333333333334,0.015249498063251465,0.7555555555555555
0.48,0.22,0.13,0.04,0.015847330749484752,0.7311827956989247,0.01619409840723633,0.7083333333333334,0.01547744524788307,0.7555555555555555
0.48,0.22,0.13,0.08,0.01645426071471092,0.7311827956989247,0.017055398163064336,0.7291666666666666,0.015813047436467283,0.7333333333333333
0.48,0.22,0.13,0.12,0.017043475365825362,0.7096774193548387,0.01801673811584766,0.6875,0.016005328432468248,0.7333333333333333
0.48,0.22,0.16,0.0,0.01492896140850959,0.7419354838709677,0.014795037374393792,0.7083333333333334,0.015071813711566441,0.7777777777777778
0.48,0.22,0.16,0.04,0.015562392371153136,0.7419354838709677,0.015760892301288198,0.7291666666666666,0.0153506591123424,0.7555555555555555
0.48,0.22,0.16,0.08,0.016135645054955582,0.7419354838709677,0.016563668687645722,0.7291666666666666,0.015679086513419434,0.7555555555555555
0.48,0.22,0.16,0.12,0.016660666937811527,0.7096774193548387,0.0174195456987536,0.6875,0.015851196259473312,0.7333333333333333
0.48,0.22,0.19,0.0,0.014587053849404659,0.7526881720430108,0.014311662834383898,0.7291666666666666,0.014880804265426805,0.7777777777777778
0.48,0.22,0.19,0.04,0.015251681977043212,0.7526881720430108,0.01526303624804709,0.7291666666666666,0.015239570754639074,0.7777777777777778
0.48,0.22,0.19,0.08,0.01576442049017859,0.7526881720430108,0.01603522497651771,0.7291666666666666,0.015475562371416859,0.7777777777777778
0.48,0.22,0.19,0.12,0.01628288895990886,0.7096774193548387,0.016866990374204378,0.6875,0.015659847451326977,0.7333333333333333
0.48,0.26,0.1,0.0,0.015886647295429518,0.7419354838709677,0.01610193264757236,0.7291666666666666,0.015657009586477158,0.7555555555555555
0.48,0.26,0.1,0.04,0.016538001897755086,0.7419354838709677,0.0170826320204932,0.75,0.01595706310016777,0.7333333333333333
0.48,0.26,0.1,0.08,0.01711539745825374,0.7096774193548387,0.017995834826526433,0.7083333333333334,0.01617626426542954,0.7111111111111111
0.48,0.26,0.1,0.12,0.017702383377412166,0.6989247311827957,0.018909417095935608,0.6875,0.0164148807443205,0.7111111111111111
0.48,0.26,0.13,0.0,0.015669432004040508,0.7526881720430108,0.015774875037150443,0.75,0.015556959435389909,0.7555555555555555
0.48,0.26,0.13,0.04,0.016239825628053078,0.7526881720430108,0.01669872550522241,0.75,0.01575033242573913,0.7555555555555555
0.48,0.26,0.13,0.08,0.016818724704691704,0.7096774193548387,0.017652647801436303,0.7083333333333334,0.0159292067348308,0.7111111111111111
0.48,0.26,0.13,0.12,0.017376488333586352,0.6989247311827957,0.018538697234933406,0.6875,0.016136798838816156,0.7111111111111111
0.48,0.26,0.16,0.0,0.015410566992912178,0.7526881720430108,0.015409791170992067,0.75,0.015411394536293636,0.7555555555555555
0.48,0.26,0.16,0.04,0.016022675285922515,0.7419354838709677,0.016296090727691077,0.7291666666666666,0.01573103214803605,0.7555555555555555
0.48,0.26,0.16,0.08,0.016474092269653896,0.7204301075268817,0.017136111323338605,0.7083333333333334,0.015767938612390207,0.7333333333333333
0.48,0.26,0.16,0.12,0.017004040065130222,0.6989247311827957,0.017989340502929448,0.6875,0.015953052931477713,0.7111111111111111
0.48,0.26,0.19,0.0,0.015145634267483814,0.7526881720430108,0.014950984264764653,0.7291666666666666,0.015353260937050922,0.7777777777777778
0.48,0.26,0.19,0.04,0.015689785156550357,0.7526881720430108,0.015788053185464435,0.7291666666666666,0.01558496592570867,0.7777777777777778
0.48,0.26,0.19,0.08,0.016236063893916745,0.7204301075268817,0.0166671639696347,0.6875,0.015776223813150924,0.7555555555555555
0.48,0.26,0.19,0.12,0.016663176314438227,0.6989247311827957,0.017488002431607762,0.6875,0.015783361789457398,0.7111111111111111
0.48,0.3,0.1,0.0,0.01624946526332166,0.7204301075268817,0.01674776734504498,0.7083333333333334,0.01571794304281679,0.7333333333333333
0.48,0.3,0.1,0.04,0.016893936107935253,0.7311827956989247,0.01764157428728712,0.7291666666666666,0.01609645538329326,0.7333333333333333
0.48,0.3,0.1,0.08,0.01747383585995021,0.7204301075268817,0.018513017266000183,0.7291666666666666,0.016365375693496904,0.7111111111111111
0.48,0.3,0.1,0.12,0.018078713711966173,0.7096774193548387,0.019453521857626253,0.7083333333333334,0.016612251689928755,0.7111111111111111
0.48,0.3,0.13,0.0,0.015992791712754802,0.7311827956989247,0.01636803518741628,0.7291666666666666,0.015592532006449224,0.7333333333333333
0.48,0.3,0.13,0.04,0.016593251792539235,0.7311827956989247,0.017260117430495315,0.7291666666666666,0.01588192844538609,0.7333333333333333
0.48,0.3,0.13,0.08,0.017182599322809054,0.7311827956989247,0.01818213535458162,0.7291666666666666,0.016116427555584983,0.7333333333333333
0.48,0.3,0.13,0.12,0.017706807566994276,0.6989247311827957,0.01899977345207471,0.6875,0.016327643956241814,0.7111111111111111
0.48,0.3,0.16,0.0,0.01576547532966256,0.7204301075268817,0.01600075732293062,0.7291666666666666,0.015514507870176625,0.7111111111111111
