eq,cry,deff,wd,ann,pos,ann_is,pos_is,ann_oos,pos_oos
0.6,0.2,0.12,0.08,0.11830227425106944,0.7350427350427351,0.1570292158973532,0.7361111111111112,0.18689843380656246,0.7333333333333333
0.62,0.21,0.17,0.0,0.10676309691318084,0.7350427350427351,0.13502256309044372,0.7222222222222222,0.17780222831418233,0.7555555555555555
0.6,0.2,0.16,0.04,0.11011694143974038,0.7435897435897436,0.14172946723326718,0.7361111111111112,0.18038165473330292,0.7555555555555555
0.58,0.19,0.15,0.08,0.11366106966494023,0.7435897435897436,0.14856316972016662,0.7361111111111112,0.18337581256355667,0.7555555555555555
0.65,0.27,0.09,0.0,0.11442444511111291,0.7350427350427351,0.14897945586573222,0.75,0.18455554742073665,0.7111111111111111
0.62,0.26,0.08,0.04,0.11740762768624227,0.7264957264957265,0.1544834188407738,0.7361111111111112,0.18782500247264222,0.7111111111111111
0.59,0.25,0.08,0.08,0.12077159330306636,0.7094017094017094,0.16079561908993684,0.7361111111111112,0.19111057253847238,0.6666666666666666
0.62,0.26,0.12,0.0,0.11095234175084948,0.7350427350427351,0.14185795614743596,0.7361111111111112,0.1832627622201258,0.7333333333333333
0.59,0.25,0.12,0.04,0.11559726431254372,0.7435897435897436,0.1511895470179345,0.7361111111111112,0.18625745609313207,0.7555555555555555
0.57,0.24,0.11,0.08,0.11895514820187117,0.7435897435897436,0.15778232247291366,0.7361111111111112,0.18895977331629085,0.7555555555555555
0.59,0.25,0.16,0.0,0.10806464200662386,0.7350427350427351,0.1362739750680626,0.7222222222222222,0.18162140823790018,0.7555555555555555
0.57,0.24,0.15,0.04,0.11221150071224414,0.7435897435897436,0.14480791307160465,0.7361111111111112,0.1839907501347734,0.7555555555555555
0.55,0.23,0.15,0.07,0.11682133343295589,0.7435897435897436,0.1539771050930593,0.7361111111111112,0.1866054473033083,0.7555555555555555
0.61,0.31,0.08,0.0,0.11556968412838786,0.7264957264957265,0.15034043283702878,0.75,0.18714768107881496,0.6888888888888889
0.59,0.29,0.08,0.04,0.11978715216046013,0.7264957264957265,0.15854080065730689,0.75,0.1905282030591286,0.6888888888888889
0.57,0.28,0.08,0.08,0.12259893556621777,0.717948717948718,0.1636887881428785,0.75,0.19372768851796351,0.6666666666666666
0.59,0.29,0.12,0.0,0.11417620296468839,0.7435897435897436,0.14721516783225358,0.7361111111111112,0.18684413018062895,0.7555555555555555
0.57,0.28,0.11,0.04,0.11793016902708604,0.7435897435897436,0.1554751287901961,0.75,0.1883621398617963,0.7333333333333333
0.55,0.27,0.11,0.07,0.12102282592477319,0.7435897435897436,0.1613824712728157,0.75,0.19129162184859821,0.7333333333333333
0.57,0.28,0.15,0.0,0.11152196066863565,0.7435897435897436,0.14185796148976842,0.7361111111111112,0.1857817846838996,0.7555555555555555
0.55,0.27,0.15,0.04,0.11539448534168446,0.7521367521367521,0.15016090628241724,0.75,0.1875192324717601,0.7555555555555555
0.53,0.26,0.14,0.07,0.11793211967915375,0.7521367521367521,0.15517264015190818,0.75,0.18971063359427892,0.7555555555555555
0.58,0.34,0.08,0.0,0.11973800221195322,0.7264957264957265,0.1544865002219485,0.7361111111111112,0.1964692843679901,0.7111111111111111
0.56,0.33,0.07,0.04,0.1218689189723536,0.7264957264957265,0.16214969064095325,0.75,0.1929347706467595,0.6888888888888889
0.54,0.32,0.07,0.07,0.12467397482243707,0.7264957264957265,0.16741225302728988,0.75,0.19592924197499234,0.6888888888888889
0.56,0.33,0.11,0.0,0.11683159450587335,0.7435897435897436,0.1518643644710073,0.75,0.18957651200864145,0.7333333333333333
0.54,0.32,0.11,0.04,0.12033482889727944,0.7435897435897436,0.15995164970247366,0.75,0.19052529304758903,0.7333333333333333
0.52,0.3,0.1,0.07,0.12347312739839861,0.7435897435897436,0.16531366312895507,0.75,0.19441592732249596,0.7333333333333333
0.54,0.32,0.14,0.0,0.11430738106408,0.7521367521367521,0.14714199180852622,0.75,0.18792905698146664,0.7555555555555555
0.52,0.3,0.14,0.03,0.11780378236887339,0.7435897435897436,0.15505093720514,0.75,0.1889898186710599,0.7333333333333333
0.5,0.29,0.13,0.07,0.12100824219246296,0.7435897435897436,0.16150914115632703,0.75,0.19133747065463907,0.7333333333333333
0.7,0.22,0.09,0.0,0.11450662021543398,0.7350427350427351,0.14995992422447244,0.75,0.1816129877312136,0.7111111111111111
0.67,0.21,0.08,0.04,0.1189670550221739,0.7264957264957265,0.15871241086779497,0.7361111111111112,0.18500169116935195,0.7111111111111111
