carry,btc,def,avg,pos,is_pos,oos_pos,ok
0.2,0.45,0.18,0.012183355247590429,0.6495726495726496,0.6527777777777778,0.6444444444444445,False
0.3,0.2,0.12,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.2,0.15,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.2,0.18,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.25,0.12,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.25,0.15,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.25,0.18,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.3,0.12,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.3,0.15,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.3,0.18,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.35,0.12,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.35,0.15,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.35,0.18,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.45,0.12,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.45,0.15,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
0.3,0.45,0.18,0.011374822110152946,0.6581196581196581,0.6527777777777778,0.6666666666666666,False
