,equity_core,btc_trend,defensive,wd_mom
2023-07-17,-0.0033556481254963313,-0.0051489671745335,,0.0024952713576545135
2023-07-18,0.00021040871943395372,0.0013161397225735583,,-0.005422247718525445
2023-07-19,0.007670350244893758,-0.00465895450742893,,0.0014497593126841415
2023-07-20,-0.00048160592502723197,1.3250306011759793e-05,,0.007609001710745392
2023-07-21,0.005606684086273618,4.2505250037785805e-05,,-0.0018649839598953665
2023-07-22,2.2077015117803115e-06,5.4668087887804984e-05,,-0.003648539010774575
2023-07-23,2.2077015117803115e-06,-6.243999399767862e-05,,-0.012860125552143381
2023-07-24,0.0036524994142215373,0.00024271426843792092,0.0005387634702490178,0.002156377292579787
2023-07-25,0.0007831999672099988,-0.00566649450086545,,-0.019651544897337715
2023-07-26,0.0001942353154012065,-0.00010984514413397425,,-0.002093679503164245
2023-07-27,0.009224547225755879,0.0002561789297501307,,0.019453853925856412
2023-07-28,-0.005280858581650845,0.00018599855567621418,,0.004540387204875949
2023-07-29,1.555391524239707e-06,0.00018840347526443243,,-0.0031215396018792934
2023-07-30,1.555391524239707e-06,0.00020554132125778218,,0.003175617960310009
2023-07-31,0.0016181245781715806,0.00014566369794879593,,-0.007386262530844803
2023-08-01,-0.00038969092601829063,0.0001478858638514777,,-0.00475428910023709
2023-08-02,-0.005722620822898419,0.0002766739995891582,-0.0013595285881694884,0.005073018198795249
2023-08-03,-0.009994701694771119,-0.008222151226163932,,-0.016605170118596566
2023-08-04,0.0024550749461416965,-0.00031287058008115946,,-0.009489082772995672
2023-08-05,1.59718301903007e-06,-0.0006107000614872695,,-0.005640031134118097
2023-08-06,1.59718301903007e-06,-5.099969761907902e-05,,0.007800257786338791
2023-08-07,-0.003425027461322413,1.8768704542999822e-05,0.0010576903382510448,-0.004309007050198363
2023-08-08,0.0009686130758988762,0.00017541665741224415,,0.005999850339039628
2023-08-09,0.002265959529804741,0.00096734251604342,,0.0047058795258782616
2023-08-10,0.00022927703840743314,-0.0020223468143537485,,0.0034864202146842843
