,ret_gross,ret_net,cost,gross_exposure,turnover,nav_gross,nav_net
2019-02-10,0.00014270720850938427,7.166104983163901e-06,0.00013554110352622037,0.9309018078655045,0.07431721143454616,0.9787876028461044,0.9761083517482108
2019-02-11,0.0032416374397875964,0.0032368863967144287,4.75104307316776e-06,0.9302165459960988,0.010151096687358505,0.9819604773850904,0.979267903593704
2019-02-12,0.0037144658515870536,0.0036942211982690554,2.0244653317998053e-05,0.9922276331042179,0.06201674548252595,0.9856079360459454,0.9828855358419444
2019-02-13,0.001961426563888926,0.001960485605051276,9.409588376500961e-07,0.9923545384440573,0.003580172734879201,0.9875411336332858,0.9848124687863756
2019-02-14,-0.000990780648402989,-0.001123702568443041,0.00013292192004005207,0.9927765731686169,0.4946674287276254,0.98656269698858,0.9837058324857656
2019-02-15,0.005638015454302393,0.0055060366683297455,0.0001319787859726479,0.9930010265834212,0.4871304550493526,0.9921249527208398,0.989122152870282
2019-02-16,0.00022747138318285616,0.0002272977333550545,1.7364982780165022e-07,0.9930853270967036,8.43005132821345e-05,0.9923506327561255,0.9893469780936407
2019-02-17,-5.326411805018089e-05,-5.92934363185542e-05,6.029318268373309e-06,0.9931018540510629,0.0035741077156000813,0.9922977760748751,0.9892883163115981
2019-02-18,0.00021684587537190982,0.000216797298753857,4.857661805282216e-08,0.9930771350158615,2.4719035201598884e-05,0.9925129517547577,0.9895027913462632
2019-02-19,0.002352963874180678,0.0023497789876116195,3.184886569058434e-06,0.9928989039428882,0.009701321805713235,0.994848298874893,0.9918279042135517
2019-02-20,0.0028849063696334432,0.002882581846918873,2.3245227145701205e-06,0.9935030944140564,0.007530242634761397,0.9977183430691362,0.9946869293255053
2019-02-21,-0.0025136036889853272,-0.002523493476867714,9.889787882386667e-06,0.9938634323146509,0.032342196782309346,0.9952104745614293,0.9921768433478267
2019-02-22,-0.0011996129317149444,-0.0011999338142669104,3.208825519660076e-07,0.9941918605332194,0.0012806553175497455,0.9940166072063672,0.9909862968037612
2019-02-23,0.00010110578554774616,0.00010080818699717442,2.9759855057173935e-07,0.9943317682701902,0.00013990773697053222,0.9941171080362864,0.991086196335681
2019-02-24,0.00038543249078701574,0.00037828665763496886,7.145833152046888e-06,0.9942493156780128,0.0036658824532361687,0.9945002730693708,0.991461111020321
2019-02-25,0.0058041259712811105,0.0057946533865752894,9.472584705820841e-06,0.9938317101738421,0.02985337026945075,1.000272477932739,0.9972062845049526
2019-02-26,-0.0034146503599465985,-0.003416756300615864,2.1059406692657715e-06,0.9937170109766016,0.007947266848040249,0.9968568971559213,0.9937990736493566
2019-02-27,-0.002397571039160139,-0.0024023147935841897,4.743754424050982e-06,0.9944607465415782,0.012697328953788502,0.9944668619291132,0.9914116554328785
2019-02-28,-0.0009527349750167359,-0.0009554474312155639,2.712456198828049e-06,0.9940899089342864,0.009489259096971054,0.9935193985682582,0.990464413713418
