,ret_net,ret_gross,nav_net,gross_exposure
2013-06-20,-0.020593188146749982,-0.020593094800335464,1.633235198946996,0.997202123618748
2013-06-21,-0.011085991651640089,-0.011085662227970793,1.6151291671663048,0.9979638357971732
2013-06-24,-0.01166068590204395,-0.011649757002097316,1.5962956532567487,0.9729828006873982
2013-06-25,0.007835695574719448,0.007852200220101375,1.6088037400429165,0.9942635999178009
2013-06-26,0.009116631672009991,0.009120727493238152,1.6234706111734398,0.9848123807315359
2013-06-27,0.008062048851566648,0.008065951921387687,1.6365591105498027,0.9937872258235301
2013-06-28,-0.004019241826643691,-0.004018818656857868,1.629981383720906,0.9947567909157086
2013-07-01,0.0032453638418182148,0.0032457323753368244,1.6352712663664706,0.9956032346113978
2013-07-02,-0.002127483952019223,-0.002127301856991186,1.6317922529900777,0.9951836998992263
2013-07-03,-0.003882814098670408,-0.0038826681892487748,1.6254563070240666,0.9955203556779509
2013-07-05,0.01225478831493212,0.012254883755181425,1.645375929981818,0.9953006059823925
2013-07-08,0.0035492694862201213,0.0037987031198693437,1.6512158125634635,0.994912662921688
2013-07-09,0.0036043693928088367,0.0036068705777267517,1.657167404299189,0.9961396768954376
2013-07-10,0.0013203366614267975,0.0013206453059014793,1.6593554231772067,0.9967450455431839
2013-07-11,0.0023269665262750264,0.0023274432023164785,1.663216687702133,0.9973169822609981
2013-07-12,0.004542763744879784,0.0047969465837840375,1.6707722881709055,0.9975267203734346
2013-07-15,0.0027022511608275745,0.002702402341300623,1.675287134526094,0.9978959534061076
2013-07-16,0.0005352012844000325,0.0005353977385982263,1.6761837503522312,0.9983746906666355
2013-07-17,-0.00012638799145117338,-0.00012626684655086938,1.6759719008547211,0.9986688008855257
2013-07-18,0.0001723188117070713,0.00017234293239649,1.676260702341131,0.9987268982354883
2013-07-19,-0.0005595833066014742,-0.0005595779835868937,1.6753226948345887,0.9987136238746984
2013-07-22,0.003457430736585088,0.0034574378423691283,1.6811150070134084,0.9987317925360119
2013-07-23,0.0016337302826835843,0.0016337522588319119,1.68386149550904,0.9986736173624701
2013-07-24,0.0015226224945345823,0.0015227579381672598,1.6864253808997829,0.9990330922548261
2013-07-25,-0.010349010933484008,-0.010348946078917004,1.668972546194346,0.9992027586354147
2013-07-26,0.0010185761449919516,0.0010186353350732907,1.6706725218165461,0.9993574182101861
2013-07-29,0.002795268894563257,0.002795663445468787,1.6753425007497813,0.9983119562789162
2013-07-30,0.005154377064445954,0.005154415207740612,1.6839778477107377,0.9984140021540033
2013-07-31,0.00019706049460358103,0.00019716266976636736,1.684309693218309,0.9986892256890839
2013-08-01,0.0032657881068270988,0.003265973435699668,1.6898102917826352,0.9991877776280998
2013-08-02,0.00258073811407071,0.002580744757084357,1.6941712496081878,0.9992057719857725
2013-08-05,0.0011827951613007357,0.0011829059034213576,1.6961751071646394,0.999505931382553
2013-08-06,-0.0006704930878459166,-0.0006704097531536424,1.695037833479509,0.9997337734183135
2013-08-07,-0.0062787113678513485,-0.00627867292431205,1.6843951801655033,0.9998381335808778
2013-08-08,0.004579226374742824,0.004579247604088482,1.6921084070000068,0.9997792872076144
2013-08-09,-0.004411660759269614,-0.004411464094547617,1.6846433987404146,0.9992328773207273
2013-08-12,-0.005969757497560063,-0.005969626846312511,1.674586486180069,0.9995961869438803
2013-08-13,0.005404785648751179,0.005404910631927231,1.6836372671881676,0.9992487879022355
2013-08-14,-0.0005555316635990876,-0.0005553650604215168,1.682701953376229,0.998783843873137
2013-08-15,-0.014434041693379397,-0.0144338933805938,1.6584137632236657,0.9991873460652133
2013-08-16,-0.007845493812346912,-0.00784547890050461,1.6454026883059836,0.9991458660173568
2013-08-19,-0.0019898442792574108,-0.0019894825917169618,1.642128593179583,0.9981265263290063
2013-08-20,-0.0017942034223043914,-0.0017940078987132995,1.6391822804378362,0.9975742586582116
2013-08-21,0.00032441106398742005,0.0003244592667851585,1.6397140493055025,0.9974374281730347
2013-08-22,-0.001767197650586711,-0.0017671552256416907,1.6368163504899358,0.9973155374814155
2013-08-23,0.007284109782083434,0.0072841178356569105,1.6487391004800138,0.9973384701439963
2013-08-26,0.0008366692466352677,0.0008367130545825819,1.6501185497811106,0.9972137216687509
2013-08-27,-0.012718763115509065,-0.012718577109828417,1.6291310828339374,0.9977360109200222
2013-08-28,-0.003833373038005818,-0.0038333512999365713,1.6228860156656246,0.9977967371672564
2013-08-29,0.0023170079133693084,0.0023173179980693855,1.6266462554064185,0.9969252495775504
2013-08-30,0.005879411184999185,0.0058795054917044716,1.636209977594492,0.9966632384474532
2013-09-03,0.002747214184008138,0.0027472706433488755,1.6407049968529552,0.9968195581507142
2013-09-04,-0.004484097177868694,-0.004483953044552207,1.6333479162068518,0.9972161918570733
2013-09-05,0.008344851149227265,0.008344919623147476,1.6469779614424984,0.9974021238113367
2013-09-06,0.004071470629275947,0.004071583603271887,1.6536835838395763,0.997095516515933
2013-09-09,0.0004093050133399985,0.0004095186766328653,1.65436044482092,0.9976772273179815
2013-09-10,0.013156025574292485,0.01315613322915135,1.6761252531420816,0.9979638628388396
2013-09-11,0.003779565351845237,0.003779576336810257,1.6824602780742104,0.9979929981679833
2013-09-12,0.003820093871624168,0.0038204477305784296,1.6888874342717328,0.9989302684619896
2013-09-13,-0.000922809847375978,-0.0009227086037857573,1.6873289123162771,0.9992099651291982
2013-09-16,0.011785618100404887,0.011785721292986759,1.7072151264866082,0.9994937196525623
2013-09-17,-0.0029132893049521567,-0.00291326426089423,1.7022415149173622,0.9994250499798659
2013-09-18,0.002864919487781992,0.0028651294050821684,1.7071182998063603,0.9999999999999998
2013-09-19,0.016963538863394592,0.01696362103869731,1.7360770674295376,0.9997820816634923
2013-09-20,-0.0030942861804567905,-0.003094203931213277,1.7307051481515823,0.9999999999999994
2013-09-23,-0.00872832152537463,-0.00872832152537463,1.7155989971528942,0.9999999999999997
2013-09-24,-0.003978581512847843,-0.003978481850707769,1.7087733466993615,0.9997413148682243
2013-09-25,-0.0014161167703817046,-0.0014158539596403402,1.7063535241063195,0.9990385620974042
2013-09-26,-0.0015211794943351935,-0.0015210597114429902,1.7037578541153624,0.9987165266622923
2013-09-27,-0.002455723662052579,-0.0024556810064873605,1.6995738956386033,0.9986030027956767
2013-09-30,-0.008697023767120778,-0.008696977820531552,1.6847926610742563,0.9984810325239483
2013-10-01,0.004303198882834012,0.004303272660199952,1.6920426589711979,0.9982842068184198
2013-10-02,6.961945604744655e-05,7.675500270736192e-05,1.6921604580607246,0.9975870313247238
2013-10-03,0.002592396649243719,0.0025925239789606857,1.696547209162184,0.9979320800695991
2013-10-04,-0.006968000780119322,-0.006967998453818113,1.6847256668852328,0.9979383519930995
2013-10-07,-0.0029606388287068863,-0.002960559888641323,1.6797378026601333,0.9981508445412259
2013-10-08,,,1.6797378026601333,0
2013-10-09,,,1.6797378026601333,0
2013-10-10,,,1.6797378026601333,0
2013-10-11,,,1.6797378026601333,0
2013-10-14,,,1.6797378026601333,0
2013-10-15,,,1.6797378026601333,0
2013-10-16,,,1.6797378026601333,0
2013-10-17,,,1.6797378026601333,0
2013-10-18,,,1.6797378026601333,0
2013-10-21,,,1.6797378026601333,0
2013-10-22,,,1.6797378026601333,0
2013-10-23,,,1.6797378026601333,0
2013-10-24,,,1.6797378026601333,0
2013-10-25,,,1.6797378026601333,0
2013-10-28,,,1.6797378026601333,0
2013-10-29,,,1.6797378026601333,0
2013-10-30,,,1.6797378026601333,0
2013-10-31,,,1.6797378026601333,0
2013-11-01,,,1.6797378026601333,0
2013-11-04,,,1.6797378026601333,0
2013-11-05,,,1.6797378026601333,0
2013-11-06,,,1.6797378026601333,0
2013-11-07,,,1.6797378026601333,0
2013-11-08,,,1.6797378026601333,0
2013-11-11,,,1.6797378026601333,0
2013-11-12,,,1.6797378026601333,0
2013-11-13,,,1.6797378026601333,0
2013-11-14,,,1.6797378026601333,0
2013-11-15,,,1.6797378026601333,0
2013-11-18,,,1.6797378026601333,0
2013-11-19,,,1.6797378026601333,0
2013-11-20,,,1.6797378026601333,0
2013-11-21,,,1.6797378026601333,0
2013-11-22,,,1.6797378026601333,0
2013-11-25,,,1.6797378026601333,0
2013-11-26,,,1.6797378026601333,0
2013-11-27,,,1.6797378026601333,0
2013-11-29,,,1.6797378026601333,0
2013-12-02,,,1.6797378026601333,0
2013-12-03,,,1.6797378026601333,0
2013-12-04,,,1.6797378026601333,0
2013-12-05,,,1.6797378026601333,0
2013-12-06,,,1.6797378026601333,0
2013-12-09,,,1.6797378026601333,0
2013-12-10,,,1.6797378026601333,0
2013-12-11,,,1.6797378026601333,0
2013-12-12,,,1.6797378026601333,0
2013-12-13,,,1.6797378026601333,0
2013-12-16,,,1.6797378026601333,0
2013-12-17,,,1.6797378026601333,0
2013-12-18,,,1.6797378026601333,0
2013-12-19,,,1.6797378026601333,0
2013-12-20,,,1.6797378026601333,0
2013-12-23,,,1.6797378026601333,0
2013-12-24,,,1.6797378026601333,0
2013-12-26,,,1.6797378026601333,0
2013-12-27,,,1.6797378026601333,0
2013-12-30,,,1.6797378026601333,0
2013-12-31,,,1.6797378026601333,0
2014-01-02,,,1.6797378026601333,0
2014-01-03,,,1.6797378026601333,0
2014-01-06,,,1.6797378026601333,0
2014-01-07,,,1.6797378026601333,0
2014-01-08,,,1.6797378026601333,0
2014-01-09,,,1.6797378026601333,0
2014-01-10,,,1.6797378026601333,0
2014-01-13,,,1.6797378026601333,0
2014-01-14,,,1.6797378026601333,0
2014-01-15,,,1.6797378026601333,0
2014-01-16,,,1.6797378026601333,0
2014-01-17,,,1.6797378026601333,0
2014-01-21,,,1.6797378026601333,0
2014-01-22,,,1.6797378026601333,0
2014-01-23,,,1.6797378026601333,0
2014-01-24,,,1.6797378026601333,0
2014-01-27,,,1.6797378026601333,0
2014-01-28,,,1.6797378026601333,0
2014-01-29,,,1.6797378026601333,0
2014-01-30,,,1.6797378026601333,0
2014-01-31,,,1.6797378026601333,0
2014-02-03,,,1.6797378026601333,0
2014-02-04,,,1.6797378026601333,0
2014-02-05,,,1.6797378026601333,0
2014-02-06,,,1.6797378026601333,0
2014-02-07,,,1.6797378026601333,0
2014-02-10,,,1.6797378026601333,0
2014-02-11,,,1.6797378026601333,0
2014-02-12,,,1.6797378026601333,0
2014-02-13,,,1.6797378026601333,0
2014-02-14,,,1.6797378026601333,0
2014-02-18,,,1.6797378026601333,0
2014-02-19,,,1.6797378026601333,0
2014-02-20,,,1.6797378026601333,0
2014-02-21,,,1.6797378026601333,0
2014-02-24,,,1.6797378026601333,0
2014-02-25,,,1.6797378026601333,0
2014-02-26,,,1.6797378026601333,0
2014-02-27,,,1.6797378026601333,0
2014-02-28,,,1.6797378026601333,0
2014-03-03,,,1.6797378026601333,0
2014-03-04,,,1.6797378026601333,0
2014-03-05,,,1.6797378026601333,0
2014-03-06,,,1.6797378026601333,0
2014-03-07,,,1.6797378026601333,0
2014-03-10,,,1.6797378026601333,0
2014-03-11,,,1.6797378026601333,0
2014-03-12,,,1.6797378026601333,0
2014-03-13,,,1.6797378026601333,0
2014-03-14,,,1.6797378026601333,0
2014-03-17,,,1.6797378026601333,0
2014-03-18,,,1.6797378026601333,0
2014-03-19,,,1.6797378026601333,0
2014-03-20,,,1.6797378026601333,0
2014-03-21,,,1.6797378026601333,0
2014-03-24,,,1.6797378026601333,0
2014-03-25,,,1.6797378026601333,0
2014-03-26,,,1.6797378026601333,0
2014-03-27,,,1.6797378026601333,0
2014-03-28,,,1.6797378026601333,0
2014-03-31,,,1.6797378026601333,0
2014-04-01,,,1.6797378026601333,0
2014-04-02,,,1.6797378026601333,0
2014-04-03,,,1.6797378026601333,0
2014-04-04,,,1.6797378026601333,0
2014-04-07,,,1.6797378026601333,0
2014-04-08,,,1.6797378026601333,0
2014-04-09,,,1.6797378026601333,0
2014-04-10,,,1.6797378026601333,0
2014-04-11,,,1.6797378026601333,0
2014-04-14,,,1.6797378026601333,0
2014-04-15,,,1.6797378026601333,0
2014-04-16,,,1.6797378026601333,0
2014-04-17,,,1.6797378026601333,0
2014-04-21,,,1.6797378026601333,0
2014-04-22,,,1.6797378026601333,0
2014-04-23,,,1.6797378026601333,0
2014-04-24,,,1.6797378026601333,0
2014-04-25,,,1.6797378026601333,0
2014-04-28,,,1.6797378026601333,0
2014-04-29,,,1.6797378026601333,0
2014-04-30,,,1.6797378026601333,0
2014-05-01,,,1.6797378026601333,0
2014-05-02,,,1.6797378026601333,0
2014-05-05,,,1.6797378026601333,0
2014-05-06,,,1.6797378026601333,0
2014-05-07,,,1.6797378026601333,0
2014-05-08,,,1.6797378026601333,0
2014-05-09,,,1.6797378026601333,0
2014-05-12,,,1.6797378026601333,0
2014-05-13,,,1.6797378026601333,0
2014-05-14,,,1.6797378026601333,0
2014-05-15,,,1.6797378026601333,0
2014-05-16,,,1.6797378026601333,0
2014-05-19,0.0014048617579236428,0.0014048617579236428,1.6820976020624292,0.4986666153423532
2014-05-20,,,1.6820976020624292,0
2014-05-21,-0.0006078465321845092,-0.0006078465321845092,1.6810751448682197,0.15207461990377677
2014-05-22,0.0008288430855193165,0.0008336476705334845,1.682468492378282,0.16553769564339463
2014-05-23,0.0008036100404981435,0.0008083644907657275,1.6838205409515792,0.17911005232073574
2014-05-27,0.001309270557983862,0.0013138240174742004,1.6860251176107754,0.19227944902393493
2014-05-28,0.0001290412789537721,0.00013367133902451425,1.6862426844483003,0.20591113705282618
2014-05-29,0.0044228369210847895,0.004636088183843415,1.6937006608509875,0.7981597469357358
2014-05-30,-0.005382884763731491,-0.005368222969671064,1.6845836653693707,0.8480530542207763
