defensive_budget,crypto_budget,full/avg_monthly,full/geom_monthly,full/cagr,full/pct_pos,full/sharpe,full/max_dd,full/ann_vol,is_window/avg_monthly,is_window/geom_monthly,is_window/cagr,is_window/pct_pos,is_window/sharpe,is_window/max_dd,is_window/ann_vol,oos_2023_plus/avg_monthly,oos_2023_plus/geom_monthly,oos_2023_plus/cagr,oos_2023_plus/pct_pos,oos_2023_plus/sharpe,oos_2023_plus/max_dd,oos_2023_plus/ann_vol,full/pct_ge_2pct,full/pct_in_2_4_band,meets_75_all_windows
0.15,0.2,0.01472566829202177,0.00990735740946369,0.12558535478950694,0.7204301075268817,1.3780629933035629,-0.12151277022377072,0.08871961373305357,0.014651899865179898,0.009675703260193513,0.12249099794808771,0.7083333333333334,1.2105623464392035,-0.12151277022377072,0.09955973535296019,0.014804354613986432,0.010158893322302687,0.1289541387402826,0.7333333333333333,1.649994565707297,-0.10124580603537303,0.07524138391679627,0.4731182795698925,0.3225806451612903,False
0.15,0.25,0.015060188184864496,0.010105073309814694,0.12823255890229035,0.7311827956989247,1.373822493989082,-0.142023362918538,0.09084047092508052,0.014993255820158818,0.009867012674982023,0.12504588194968536,0.7083333333333334,1.2123277952000162,-0.142023362918538,0.10144399526185603,0.015131582707217216,0.010363567244021654,0.13170212397082537,0.7555555555555555,1.630532644217455,-0.10825161514742865,0.0777471813313051,0.46236559139784944,0.27956989247311825,False
0.15,0.3,0.01567713943608159,0.010494313187053628,0.13346074816472542,0.7526881720430108,1.3773536315192818,-0.14679727654338037,0.09418698943452804,0.01578705905672135,0.010361745191191485,0.13167763376940322,0.75,1.230656311366582,-0.14679727654338037,0.10500441731618969,0.01555989184073251,0.01063824411689307,0.1353996161630282,0.7555555555555555,1.611109964545882,-0.11598596485585166,0.08086127003368335,0.41935483870967744,0.22580645161290322,True
0.15,0.35,0.0162219399067107,0.010816914220766582,0.13781067870828778,0.6989247311827957,1.3578638077374785,-0.1610313073305143,0.09867476723592919,0.016632436236169383,0.0108692000334778,0.13851713642303043,0.6875,1.233488663969045,-0.1610313073305143,0.11008585925973027,0.0157840771552881,0.010760157609005727,0.1370442688235476,0.7111111111111111,1.5605715348756937,-0.12330899845840093,0.08460354013716145,0.41935483870967744,0.1935483870967742,False
0.15,0.4,0.017155187134348802,0.01139214074883066,0.1456049838192519,0.6774193548387096,1.3516072690943242,-0.17269381486287594,0.10462515758816576,0.017839343276370555,0.011607028938041664,0.14852924850449045,0.6458333333333334,1.2354208279878032,-0.17269381486287594,0.11769522139722578,0.016425420582858927,0.011158917222001685,0.14243893074401637,0.7111111111111111,1.5521337423000539,-0.13068204610552148,0.08831689129679324,0.43010752688172044,0.1935483870967742,False
0.18,0.2,0.014454006505877717,0.009736815414900457,0.12330655506822907,0.7419354838709677,1.4090886470761987,-0.1214612270750891,0.0851046838329706,0.014245967432657401,0.00941916045865665,0.11907328786706395,0.7083333333333334,1.2304961531543346,-0.1214612270750891,0.09511724936881705,0.014675914850646055,0.01008176382888104,0.1279201734468618,0.7777777777777778,1.6918895459223504,-0.10540970608259437,0.07272637281379844,0.44086021505376344,0.2903225806451613,False
0.18,0.25,0.014913748436459123,0.010019590416184387,0.1270873350004229,0.7419354838709677,1.4105029210343956,-0.14089888254370997,0.08755022092063483,0.014777230791901548,0.009738013814480695,0.12332255344171705,0.7083333333333334,1.242758375205997,-0.14089888254370997,0.09740397143907314,0.015059367257320535,0.010325349140790863,0.1311885364313481,0.7777777777777778,1.6719028704179326,-0.11097797690672906,0.07544629896126008,0.40860215053763443,0.25806451612903225,False
0.18,0.3,0.015502816460632911,0.010385228582150852,0.13199331111139623,0.7526881720430108,1.4064398564787688,-0.14572783766289854,0.09111592324244688,0.015547256032968698,0.010210737066423281,0.1296496222004302,0.75,1.2543727167169916,-0.14572783766289854,0.10128430662761616,0.015455414250141407,0.01057468466591227,0.13454304355543512,0.7555555555555555,1.644747151758339,-0.11896920765833485,0.07864069019550937,0.3763440860215054,0.1827956989247312,True
0.18,0.35,0.016125876633403573,0.010760171028526777,0.1370444499773904,0.6989247311827957,1.3854454974866348,-0.15736502817297315,0.0960395847972772,0.016527687589996978,0.010808312123184338,0.13769449030358927,0.6875,1.259945585716307,-0.15736502817297315,0.10693066396505149,0.01569727827970394,0.01070791331362897,0.13633920907503394,0.7111111111111111,1.5880184362539602,-0.12626134003043366,0.08264738814552663,0.3870967741935484,0.16129032258064516,False
0.18,0.4,0.01692592778888486,0.011239790559973706,0.14353589188994698,0.6881720430107527,1.3540270700444677,-0.1681928355124278,0.10297701771953502,0.017786106051894915,0.01157327534194863,0.14806946665967757,0.6666666666666666,1.2537126767476108,-0.1681928355124278,0.11545067150307033,0.016008404308340815,0.010877895445421837,0.138634663128419,0.7111111111111111,1.527893656197501,-0.13325644306452555,0.0874872154469271,0.3978494623655914,0.16129032258064516,False
